prompt,answer,topic,family,difficulty
Which artist recorded the 1980s power ballad 'Don't Dream It's Over'?,Crowded House,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'The Power of Love'?,Jennifer Rush,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'You're the Inspiration'?,Chicago,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Holding Back the Years'?,Simply Red,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Drive'?,The Cars,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Faithfully'?,Journey,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Take My Breath Away'?,Berlin,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Still Loving You'?,Scorpions,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'I Just Called to Say I Love You'?,Stevie Wonder,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Don't Dream It's Over'?,Crowded House,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Open Arms'?,Journey,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Nothing's Gonna Stop Us Now'?,Starship,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Heaven'?,Bryan Adams,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Every Time You Go Away'?,Paul Young,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Eternal Flame'?,The Bangles,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Total Eclipse of the Heart'?,Bonnie Tyler,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Still Loving You'?,Scorpions,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Careless Whisper'?,George Michael,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Every Rose Has Its Thorn'?,Poison,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'The Power of Love'?,Jennifer Rush,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Forever Young'?,Alphaville,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Total Eclipse of the Heart'?,Bonnie Tyler,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Listen to Your Heart'?,Roxette,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Every Time You Go Away'?,Paul Young,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Hard to Say I'm Sorry'?,Chicago,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Eternal Flame'?,The Bangles,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Up Where We Belong'?,Joe Cocker & Jennifer Warnes,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Wonderful Tonight'?,Eric Clapton,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'I Want to Know What Love Is'?,Foreigner,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Time After Time'?,Cyndi Lauper,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Heaven'?,Bryan Adams,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'How Am I Supposed to Live Without You'?,Michael Bolton,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Alone'?,Heart,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Don't Dream It's Over'?,Crowded House,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Hello'?,Lionel Richie,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Open Arms'?,Journey,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Total Eclipse of the Heart'?,Bonnie Tyler,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Holding Back the Years'?,Simply Red,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'True'?,Spandau Ballet,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Time After Time'?,Cyndi Lauper,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Forever Young'?,Alphaville,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Nothing's Gonna Stop Us Now'?,Starship,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Open Arms'?,Journey,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'I Want to Know What Love Is'?,Foreigner,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Faithfully'?,Journey,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Right Here Waiting'?,Richard Marx,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Careless Whisper'?,George Michael,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Is This Love'?,Whitesnake,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Right Here Waiting'?,Richard Marx,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Forever Young'?,Alphaville,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'I Want to Know What Love Is'?,Foreigner,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Against All Odds (Take a Look at Me Now)'?,Phil Collins,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Every Time You Go Away'?,Paul Young,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Time After Time'?,Cyndi Lauper,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Up Where We Belong'?,Joe Cocker & Jennifer Warnes,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Faithfully'?,Journey,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Alone'?,Heart,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Nothing's Gonna Stop Us Now'?,Starship,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Hard to Say I'm Sorry'?,Chicago,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'You're the Inspiration'?,Chicago,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'How Am I Supposed to Live Without You'?,Michael Bolton,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'True'?,Spandau Ballet,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Against All Odds (Take a Look at Me Now)'?,Phil Collins,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Against All Odds (Take a Look at Me Now)'?,Phil Collins,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Total Eclipse of the Heart'?,Bonnie Tyler,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'You're the Inspiration'?,Chicago,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'Drive'?,The Cars,1980s — Power Ballads,Music,mid
Which artist recorded the 1980s power ballad 'I Just Called to Say I Love You'?,Stevie Wonder,1980s — Power Ballads,Music,mid
