prompt,answer,topic,family,difficulty
Who recorded the 1980s hit 'Addicted to Love'?,Robert Palmer,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Eye of the Tiger'?,Survivor,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Another One Bites the Dust'?,Queen,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'With or Without You'?,U2,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Relax'?,Frankie Goes to Hollywood,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Every Breath You Take'?,The Police,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Pride (In the Name of Love)'?,U2,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Never Gonna Give You Up'?,Rick Astley,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Livin' on a Prayer'?,Bon Jovi,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Don't Dream It's Over'?,Crowded House,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'How Will I Know'?,Whitney Houston,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Africa'?,Toto,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Everybody Wants to Rule the World'?,Tears for Fears,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Beat It'?,Michael Jackson,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Love Shack'?,The B-52's,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Every Rose Has Its Thorn'?,Poison,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Private Eyes'?,Hall & Oates,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Careless Whisper'?,George Michael,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Like a Prayer'?,Madonna,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Walking on Sunshine'?,Katrina and the Waves,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'I Think We're Alone Now'?,Tiffany,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Walk Like an Egyptian'?,The Bangles,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Billie Jean'?,Michael Jackson,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Just Can't Get Enough'?,Depeche Mode,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Eternal Flame'?,The Bangles,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'I Wanna Dance with Somebody'?,Whitney Houston,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Sweet Dreams (Are Made of This)'?,Eurythmics,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Rosanna'?,Toto,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'True Faith'?,New Order,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'People Are People'?,Depeche Mode,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Kiss'?,Prince,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Take My Breath Away'?,Berlin,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Like a Virgin'?,Madonna,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Everybody Have Fun Tonight'?,Wang Chung,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Blue Monday'?,New Order,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Alive and Kicking'?,Simple Minds,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Purple Rain'?,Prince,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'I Want to Know What Love Is'?,Foreigner,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Into the Groove'?,Madonna,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Wake Me Up Before You Go-Go'?,Wham!,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Don't You (Forget About Me)'?,Simple Minds,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Just Like Heaven'?,The Cure,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Straight Up'?,Paula Abdul,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Gold'?,Spandau Ballet,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit '(I Just) Died in Your Arms'?,Cutting Crew,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Kyrie'?,Mr. Mister,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Always on My Mind'?,Pet Shop Boys,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'The Sun Always Shines on T.V.'?,A-ha,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Take On Me'?,A-ha,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit '(Keep Feeling) Fascination'?,The Human League,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'The Power of Love'?,Huey Lewis and the News,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Pour Some Sugar on Me'?,Def Leppard,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'So Emotional'?,Whitney Houston,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Material Girl'?,Madonna,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Owner of a Lonely Heart'?,Yes,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Broken Wings'?,Mr. Mister,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Lovesong'?,The Cure,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'New Sensation'?,INXS,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Down Under'?,Men at Work,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Let's Dance'?,David Bowie,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'It's a Sin'?,Pet Shop Boys,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'She Drives Me Crazy'?,Fine Young Cannibals,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Radio Ga Ga'?,Queen,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Need You Tonight'?,INXS,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Modern Love'?,David Bowie,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Last Christmas'?,Wham!,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Heaven Is a Place on Earth'?,Belinda Carlisle,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Maneater'?,Hall & Oates,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'We Built This City'?,Starship,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Thriller'?,Michael Jackson,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Come On Eileen'?,Dexys Midnight Runners,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Tainted Love'?,Soft Cell,1980s — Pop Global Hits,Music,mid
Who recorded the 1980s hit 'Shout'?,Tears for Fears,1980s — Pop Global Hits,Music,mid
