prompt,answer,topic,family,difficulty
Which artist recorded the 1980s synth‑pop/new wave track 'Cars'?,Gary Numan,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Girls on Film'?,Duran Duran,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Blue Monday'?,New Order,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Send Me an Angel'?,Real Life,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Victims'?,Culture Club,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Tainted Love'?,Soft Cell,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Love Is a Stranger'?,Eurythmics,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Change'?,Tears for Fears,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Vienna'?,Ultravox,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Rent'?,Pet Shop Boys,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Only You'?,Yazoo,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Love Plus One'?,Haircut 100,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'The Perfect Kiss'?,New Order,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Whisper to a Scream (Birds Fly)'?,The Icicle Works,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Do You Really Want to Hurt Me'?,Culture Club,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'If You Leave'?,Orchestral Manoeuvres in the Dark,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Call Me'?,Go West,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Der Kommissar'?,After the Fire,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Just Can't Get Enough'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Thieves Like Us'?,New Order,1980s — Synth‑Pop & New Wave,Music,mid
Which artist recorded the 1980s synth‑pop/new wave track 'Everything Counts'?,Depeche Mode,1980s — Synth‑Pop & New Wave,Music,mid
