prompt,answer,topic,family,difficulty
Who recorded the 1980s hit 'You Got It (The Right Stuff)'?,New Kids on the Block,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Hungry Like the Wolf'?,Duran Duran,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Like a Virgin'?,Madonna,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Bad'?,Michael Jackson,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Every Breath You Take'?,The Police,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Don't You Want Me'?,The Human League,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Blue Monday'?,New Order,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'The Sun Always Shines on T.V.'?,A-ha,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'The Power of Love'?,Huey Lewis and the News,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Time After Time'?,Cyndi Lauper,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'We Built This City'?,Starship,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Maneater'?,Hall & Oates,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Greatest Love of All'?,Whitney Houston,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Cruel Summer'?,Bananarama,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'It's a Sin'?,Pet Shop Boys,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Material Girl'?,Madonna,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Footloose'?,Kenny Loggins,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Straight Up'?,Paula Abdul,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Shout'?,Tears for Fears,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Just Can't Get Enough'?,Depeche Mode,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Just Like Heaven'?,The Cure,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Smooth Operator'?,Sade,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Nothing's Gonna Stop Us Now'?,Starship,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Red Red Wine'?,UB40,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Never Gonna Give You Up'?,Rick Astley,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'I Think We're Alone Now'?,Tiffany,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'West End Girls'?,Pet Shop Boys,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Sweet Child o' Mine'?,Guns N' Roses,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Need You Tonight'?,INXS,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Take My Breath Away'?,Berlin,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Billie Jean'?,Michael Jackson,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Don't Stop Believin''?,Journey,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Broken Wings'?,Mr. Mister,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Hello'?,Lionel Richie,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Heaven Is a Place on Earth'?,Belinda Carlisle,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Rosanna'?,Toto,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Eye of the Tiger'?,Survivor,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Private Eyes'?,Hall & Oates,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Smooth Criminal'?,Michael Jackson,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Only in My Dreams'?,Debbie Gibson,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Summer of '69'?,Bryan Adams,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'When Doves Cry'?,Prince,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Careless Whisper'?,George Michael,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'She Drives Me Crazy'?,Fine Young Cannibals,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Another One Bites the Dust'?,Queen,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Do You Really Want to Hurt Me'?,Culture Club,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Take On Me'?,A-ha,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Rock Me Amadeus'?,Falco,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Beat It'?,Michael Jackson,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Uptown Girl'?,Billy Joel,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Walking on Sunshine'?,Katrina and the Waves,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Pride (In the Name of Love)'?,U2,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Purple Rain'?,Prince,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Last Christmas'?,Wham!,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Into the Groove'?,Madonna,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Listen to Your Heart'?,Roxette,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Africa'?,Toto,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Walk Like an Egyptian'?,The Bangles,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Don't You (Forget About Me)'?,Simple Minds,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Wake Me Up Before You Go-Go'?,Wham!,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Every Little Thing She Does Is Magic'?,The Police,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Girls Just Want to Have Fun'?,Cyndi Lauper,1980s Pop Music,Music,starter
Who recorded the 1980s hit '(I Just) Died in Your Arms'?,Cutting Crew,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'True'?,Spandau Ballet,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'I Want to Know What Love Is'?,Foreigner,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Dancing in the Dark'?,Bruce Springsteen,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Running Up That Hill (A Deal with God)'?,Kate Bush,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Against All Odds (Take a Look at Me Now)'?,Phil Collins,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Radio Ga Ga'?,Queen,1980s Pop Music,Music,starter
Who recorded the 1980s hit '99 Luftballons'?,Nena,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Like a Prayer'?,Madonna,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Down Under'?,Men at Work,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'In the Air Tonight'?,Phil Collins,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Karma Chameleon'?,Culture Club,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Come On Eileen'?,Dexys Midnight Runners,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Sweet Dreams (Are Made of This)'?,Eurythmics,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'I Want to Break Free'?,Queen,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Faith'?,George Michael,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Kiss'?,Prince,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Let's Dance'?,David Bowie,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Everybody Wants to Rule the World'?,Tears for Fears,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'I'm So Excited'?,The Pointer Sisters,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Modern Love'?,David Bowie,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'You Make My Dreams'?,Hall & Oates,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'People Are People'?,Depeche Mode,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'With or Without You'?,U2,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Gold'?,Spandau Ballet,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Tainted Love'?,Soft Cell,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'This Charming Man'?,The Smiths,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'There Is a Light That Never Goes Out'?,The Smiths,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Eternal Flame'?,The Bangles,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'How Will I Know'?,Whitney Houston,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Venus'?,Bananarama,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'The Look'?,Roxette,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Wrapped Around Your Finger'?,The Police,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Kyrie'?,Mr. Mister,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Jump (For My Love)'?,The Pointer Sisters,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Thriller'?,Michael Jackson,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'New Sensation'?,INXS,1980s Pop Music,Music,starter
Who recorded the 1980s hit 'Pour Some Sugar on Me'?,Def Leppard,1980s Pop Music,Music,starter
