prompt,answer,choices,topic,family,difficulty
Choose the correct spelling:,left,lefft|laft|letf,Spelling,en-GB,starter
Choose the correct spelling:,before,beffore|bafore|bfore,Spelling,en-GB,starter
Choose the correct spelling:,still,stell|stll|stlil,Spelling,en-GB,starter
Choose the correct spelling:,show,shhow|shuw|shwo,Spelling,en-GB,starter
Choose the correct spelling:,between,bettween|betwean|batween,Spelling,en-GB,starter
Choose the correct spelling:,days,dayys|deys|dasy,Spelling,en-GB,starter
Choose the correct spelling:,make,makke|meke|maek,Spelling,en-GB,starter
Choose the correct spelling:,what,whhat|whta|whaat,Spelling,en-GB,starter
Choose the correct spelling:,again,aggain|egain|agin,Spelling,en-GB,starter
Choose the correct spelling:,game,gamme|geme|gaem,Spelling,en-GB,starter
Choose the correct spelling:,over,ovver|ovar|ovre,Spelling,en-GB,starter
Choose the correct spelling:,conscience,connscience|consceince|consciance,Spelling,en-GB,intermediate
Choose the correct spelling:,each,eacch|eech|eahc,Spelling,en-GB,starter
Choose the correct spelling:,while,whhile|whila|whle,Spelling,en-GB,starter
Choose the correct spelling:,perseverance,perrseverance|perseverence|prseverance,Spelling,en-GB,hard
Choose the correct spelling:,down,dowwn|duwn|donw,Spelling,en-GB,starter
Choose the correct spelling:,supersede,suppersede|suparsede|spersede,Spelling,en-GB,hard
Choose the correct spelling:,there,thhere|thare|thre,Spelling,en-GB,starter
Choose the correct spelling:,that,thhat|thet|thta,Spelling,en-GB,starter
Choose the correct spelling:,weird,weirrd|waird|wird,Spelling,en-GB,starter
Choose the correct spelling:,phlegm,phhlegm|phlagm|phlgm,Spelling,en-GB,hard
Choose the correct spelling:,must,musst|muts|muste,Spelling,en-GB,starter
Choose the correct spelling:,memento,memmento|mamento|mmento,Spelling,en-GB,hard
Choose the correct spelling:,feel,feal|fael|fele,Spelling,en-GB,starter
Choose the correct spelling:,some,soem|soome|sometio,Spelling,en-GB,starter
Choose the correct spelling:,give,givve|giva|giev,Spelling,en-GB,starter
Choose the correct spelling:,would,woulld|wuuld|wuld,Spelling,en-GB,starter
Choose the correct spelling:,name,namme|neme|naem,Spelling,en-GB,starter
Choose the correct spelling:,always,allways|elways|alwys,Spelling,en-GB,starter
Choose the correct spelling:,like,likke|lika|liek,Spelling,en-GB,starter
Choose the correct spelling:,another,annother|enother|anther,Spelling,en-GB,starter
Choose the correct spelling:,said,seid|sadi|saide,Spelling,en-GB,starter
Choose the correct spelling:,maintenance,mainntenance|maintenence|meintenance,Spelling,en-GB,starter
Choose the correct spelling:,this,thhis|thes|thsi,Spelling,en-GB,starter
Choose the correct spelling:,made,madde|mede|maed,Spelling,en-GB,starter
Choose the correct spelling:,many,meny|mayn|manye,Spelling,en-GB,starter
Choose the correct spelling:,company,commpany|compeny|cmpany,Spelling,en-GB,starter
Choose the correct spelling:,every,evvery|evry|evrey,Spelling,en-GB,starter
Choose the correct spelling:,your,yuur|yoru|yoour,Spelling,en-GB,starter
Choose the correct spelling:,medieval,meddieval|medeival|medievel,Spelling,en-GB,intermediate
Choose the correct spelling:,high,higgh|hegh|hihg,Spelling,en-GB,starter
Choose the correct spelling:,best,besst|beste|beest,Spelling,en-GB,starter
Choose the correct spelling:,harass,haras|herass|hrass,Spelling,en-GB,hard
Choose the correct spelling:,called,caled|clled|caleld,Spelling,en-GB,starter
Choose the correct spelling:,during,durring|doring|dring,Spelling,en-GB,starter
Choose the correct spelling:,year,yeer|yera|yeare,Spelling,en-GB,starter
Choose the correct spelling:,seize,seizze|sieze|saize,Spelling,en-GB,intermediate
Choose the correct spelling:,both,botth|buth|boht,Spelling,en-GB,starter
Choose the correct spelling:,state,sttate|stete|stte,Spelling,en-GB,starter
Choose the correct spelling:,first,firrst|ferst|frst,Spelling,en-GB,starter
Choose the correct spelling:,does,doas|doese|dooes,Spelling,en-GB,starter
Choose the correct spelling:,little,litle|littla|lttle,Spelling,en-GB,starter
Choose the correct spelling:,height,heigght|hieght|haight,Spelling,en-GB,starter
Choose the correct spelling:,because,beccause|beceuse|bcause,Spelling,en-GB,starter
Choose the correct spelling:,thing,thhing|theng|thng,Spelling,en-GB,starter
Choose the correct spelling:,never,nevver|naver|nver,Spelling,en-GB,starter
Choose the correct spelling:,better,beter|btter|betetr,Spelling,en-GB,starter
Choose the correct spelling:,find,finnd|fidn|phind,Spelling,en-GB,starter
